Month,Age Range,Classification,Category,Percentage %
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,Discouraged job seekers,6.4
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Considered too young or too old by employers,0.6
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.2
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.2
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Cultural background or language difficulties,0.0
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",2.4
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   No jobs in suitable hours,1.0
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,Personal reasons,72.6
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Own short-term illness or injury,1.4
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Own long-term health condition or disability,2.9
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Attending an educational institution,64.0
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Had no need or want to work,1.7
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.2
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Problems with access to transport,0.9
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Moved house or holidays,1.6
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,Family reasons,11.4
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,1.4
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Childcare,7.8
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,   Other family considerations,2.3
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,Other reasons,7.7
Feb-15,People aged 15 - 24 years,Reason did not actively look for work,Did not know,1.8
Feb-15,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.3
Feb-15,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",4.0
Feb-15,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.5
Feb-15,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Children too young or too old,0.6
Feb-15,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Prefers to look after children,2.1
Feb-15,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.2
