"August 2024 - Trend"
,"New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory","Australia"
"Employed people","4,460,600","3,778,700","2,954,400","941,900","1,616,100","281,100","139,800","270,200","14,443,600"
"Employed people - monthly change","0.3%","0.4%","0.2%","0.2%","0.2%","-0.2%","0.3%","0.1%","0.3%"
"Employment to population ratio","63.5%","65.2%","64.4%","60.1%","66.4%","58.2%","70.0%","69.9%","64.2%"
"Employment to population ratio - monthly change","0.1 pts","0.1 pts","0.0 pts","0.1 pts","-0.1 pts","-0.1 pts","0.1 pts","0.0 pts","0.1 pts"
"Unemployment rate","4.0%","4.5%","4.2%","4.0%","3.8%","4.3%","4.3%","3.6%","4.1%"
"Unemployment rate - monthly change","0.0 pts","0.0 pts","0.0 pts","0.0 pts","0.0 pts","0.1 pts","0.0 pts","0.0 pts","0.0 pts"
"Underemployment rate","6.1%","6.6%","6.7%","7.6%","5.5%","6.8%","3.8%","5.2%","6.4%"
"Underemployment rate - monthly change","0.0 pts","-0.1 pts","0.0 pts","0.1 pts","0.0 pts","-0.2 pts","0.0 pts","0.1 pts","0.0 pts"
"Participation rate","66.2%","68.2%","67.2%","62.6%","69.0%","60.8%","73.1%","72.5%","67.0%"
"Participation rate - monthly change","0.1 pts","0.1 pts","0.0 pts","0.1 pts","0.0 pts","-0.1 pts","0.1 pts","-0.1 pts","0.1 pts"

"Source: Australian Bureau of Statistics, Labour Force, Australia August 2024"
